,mass,RT,mass1,intensity1,RT_s1,RT_f1,group
0,18395.395,41.248000000000005,18395.395,2380000.0,41.248000000000005,43.48,
1,18378.38,40.995,18378.38,2680000.0,40.995,45.224,
2,15649.52,53.993,15649.52,541000.0,53.993,55.738,
3,15484.696000000002,58.26,15484.696000000002,1850000.0,58.26,60.731,
4,15293.05,64.258,15293.05,2470000.0,64.258,65.735,
5,15142.582,161.49,15142.582,1740000.0,161.49,164.47299999999998,
6,15126.598,162.759,15126.598,3800000.0,162.759,165.977,
7,15112.571000000002,161.743,15112.571000000002,2550000.0,161.743,165.237,
8,15111.358999999999,87.258,15111.358999999999,29800000.0,87.258,91.22399999999999,
9,15068.905,64.258,15068.905,85100000.0,64.258,67.973,
10,15050.555,196.0,15050.555,227000.0,196.0,199.481,
11,14988.969,66.49,14988.969,3860000.0,66.49,68.979,
12,14944.768999999998,65.50399999999999,14944.768999999998,8510000.0,65.50399999999999,67.733,
13,14927.222,85.25299999999999,14927.222,62300000.0,85.25299999999999,87.73899999999999,
14,14926.226,83.994,14926.226,33600000.0,83.994,90.478,
15,14901.206,88.508,14901.206,11700000.0,88.508,91.49,
16,14887.204,88.24600000000001,14887.204,105000000.0,88.24600000000001,94.471,
17,14870.193000000001,90.241,14870.193000000001,3850000.0,90.241,91.984,
18,14802.088,85.993,14802.088,5700000.0,85.993,88.742,
19,14786.096000000001,90.241,14786.096000000001,7830000.0,90.241,93.975,
20,14763.073999999999,91.751,14763.073999999999,5590000.0,91.751,94.98200000000001,
21,14703.813,111.759,14703.813,33400000.0,111.759,114.973,
22,14530.028999999999,124.74700000000001,14530.028999999999,11300000.0,124.74700000000001,126.986,
23,14514.041000000001,128.007,14514.041000000001,19100000.0,128.007,130.22799999999998,
24,14488.031,122.24600000000001,14488.031,2960000.0,122.24600000000001,124.227,
25,14472.033000000001,126.756,14472.033000000001,5780000.0,126.756,128.486,
26,14288.708,55.992,14288.708,543000.0,55.992,57.483000000000004,
27,14272.712,58.49,14272.712,1520000.0,58.49,59.98,
28,14263.871000000001,124.24700000000001,14263.871000000001,29000000.0,124.24700000000001,127.23700000000001,
29,14247.878,127.757,14247.878,44700000.0,127.757,130.483,
30,13762.296999999999,90.241,13762.296999999999,19300000.0,90.241,94.98200000000001,
31,13145.008,79.499,13145.008,3080000.0,79.499,81.477,
32,13129.006000000001,79.758,13129.006000000001,11600000.0,79.758,82.98,
33,13113.015,80.743,13113.015,4730000.0,80.743,82.728,
34,12879.854,61.997,12879.854,4170000.0,61.997,64.241,
35,12863.858999999999,62.751999999999995,12863.858999999999,3930000.0,62.751999999999995,64.737,
36,12430.028999999999,74.75399999999999,12430.028999999999,2590000.0,74.75399999999999,76.23899999999999,
37,12414.036,74.501,12414.036,27200000.0,74.501,76.983,
38,12398.037,74.75399999999999,12398.037,25700000.0,74.75399999999999,77.98899999999999,
39,12230.681,76.005,12230.681,3620000.0,76.005,77.98899999999999,
40,12221.936000000002,82.25399999999999,12221.936000000002,9850000.0,82.25399999999999,84.479,
41,12219.098,98.24700000000001,12219.098,6360000.0,98.24700000000001,101.23700000000001,
42,12205.941,83.744,12205.941,4470000.0,83.744,85.486,
43,12170.403,32.255,12170.403,349000.0,32.255,36.228,
44,12154.41,33.491,12154.41,266000.0,33.491,37.482,
45,12114.631000000001,74.252,12114.631000000001,36300000.0,74.252,76.983,
46,12046.271,34.241,12046.271,29600.0,34.241,35.988,
47,11734.783000000001,43.498999999999995,11734.783000000001,1490000.0,43.498999999999995,45.979,
48,11722.393999999998,49.756,11722.393999999998,5910000.0,49.756,53.47,
49,11672.055,162.759,11672.055,193000.0,162.759,164.239,
50,11656.056999999999,163.243,11656.056999999999,1900000.0,163.243,167.72299999999998,
51,11623.628999999999,47.757,11623.628999999999,1570000.0,47.757,49.736999999999995,
52,11598.253999999999,51.001999999999995,11598.253999999999,6100000.0,51.001999999999995,54.983999999999995,
53,11569.316,56.748000000000005,11569.316,2720000.0,56.748000000000005,59.478,
54,11528.286,58.008,11528.286,14300000.0,58.008,60.977,
55,11523.233,90.49600000000001,11523.233,4150000.0,90.49600000000001,92.484,
56,11512.285,58.26,11512.285,28100000.0,58.26,64.982,
57,11498.241000000002,49.756,11498.241000000002,895000.0,49.756,51.49,
58,11496.288999999999,64.258,11496.288999999999,14400000.0,64.258,66.47,
59,11370.378,69.506,11370.378,3810000.0,69.506,71.487,
60,11361.963,74.008,11361.963,3240000.0,74.008,75.734,
61,11354.381000000001,70.748,11354.381000000001,12000000.0,70.748,73.234,
62,11338.385,71.998,11338.385,6760000.0,71.998,74.235,
