Sample number,Monoisotopic mass,Intensity,RT_start,RT_finish
1,12879.857,9.58E+05,65.254,66.726
2,12879.854,4.17E+06,61.997,64.241
1,12863.861,1.95E+06,65.746,67.739
3,12863.86,4.00E+06,65.008,66.98
2,12863.859,3.93E+06,62.752,64.737
3,12805.213,1.10E+07,111.506,114.223
4,12805.212,5.50E+06,112.241,114.722
4,12789.214,7.35E+06,113.259,115.975
3,12789.214,2.19E+07,112.248,116.489
4,12581.059,3.36E+06,112.241,114.491
4,12565.059,2.25E+06,113.259,115.222
2,12430.029,2.59E+06,74.754,76.239
1,12430.027,3.63E+06,78.999,81.985
4,12414.041,6.30E+06,78.493,80.982
2,12414.036,2.72E+07,74.501,76.983
3,12414.036,1.86E+07,77.004,79.735
1,12414.035,2.74E+07,79.254,85.977
3,12398.039,3.07E+07,76.745,81.221
4,12398.039,6.19E+06,79.002,81.485
2,12398.037,2.57E+07,74.754,77.989
1,12398.036,2.85E+07,79.503,87.73
3,12246.793,2.90E+04,21.005,23.233
3,12230.802,9.36E+04,20.509,24.47
1,12230.685,3.75E+06,81.259,83.736
2,12230.681,3.62E+06,76.005,77.989
3,12230.68,1.35E+06,78.505,79.991
3,12221.942,5.55E+06,84.493,86.221
1,12221.939,9.30E+06,100.003,105.238
2,12221.936,9.85E+06,82.254,84.479
4,12220.942,2.56E+06,85.748,87.47
4,12219.101,1.37E+06,99.744,101.48
2,12219.098,6.36E+06,98.247,101.237
3,12219.097,1.49E+07,97.754,100.47
3,12215.795,8.90E+04,20.741,24.731
3,12214.803,5.71E+04,22.003,24.47
3,12205.944,6.72E+06,85.497,87.487
2,12205.941,4.47E+06,83.744,85.486
1,12205.937,1.19E+07,104.493,107.727
3,12202.797,1.88E+04,21.743,23.233
3,12190.788,1.06E+05,21.005,24.47
4,12190.785,3.10E+04,28.995,30.99
4,12189.879,3.40E+06,78.759,80.736
4,12189.78,9.95E+04,28.752,31.984
4,12174.784,4.26E+05,28.258,32.721
4,12173.879,1.88E+06,79.247,80.982
3,12173.788,3.77E+05,20.741,30.725
2,12170.403,3.49E+05,32.255,36.228
4,12158.788,6.69E+05,28.258,33.23
1,12157.801,2.36E+04,29.998,31.723
2,12154.41,2.66E+05,33.491,37.482
3,12142.798,4.94E+05,21.005,31.487
4,12142.789,2.16E+05,30.004,33.23
4,12141.788,6.07E+04,30.245,31.984
3,12138.421,7.63E+04,34.743,36.229
2,12114.631,3.63E+07,74.252,76.983
4,12114.631,2.55E+07,78.493,80.736
1,12114.63,2.88E+07,79.503,83.736
3,12114.629,3.10E+07,76.745,79.224
2,12046.271,2.96E+04,34.241,35.988
3,12013.428,7.55E+05,85.497,86.986
4,11836.357,2.90E+06,118.253,119.989
3,11836.354,2.58E+07,117.009,120.726
3,11734.795,1.78E+05,44.745,46.221
2,11734.783,1.49E+06,43.499,45.979
1,11734.777,1.12E+06,44.753,48.234
4,11722.398,1.80E+06,54.248,56.734
3,11722.396,3.10E+06,51.26,53.985
2,11722.394,5.91E+06,49.756,53.47
1,11722.393,2.00E+06,51.745,55.485
1,11721.392,5.09E+05,53.749,55.23
1,11689.235,1.29E+05,29.998,32.739
3,11689.231,1.89E+04,22.25,23.98
4,11689.23,9.31E+04,30.245,33.23
2,11672.055,1.93E+05,162.759,164.239
3,11656.058,1.10E+06,166.244,170.227
2,11656.057,1.90E+06,163.243,167.723
1,11656.055,1.34E+06,164.748,168.738
4,11623.638,7.11E+05,51.252,53.222
3,11623.632,3.69E+06,48.496,51.472
1,11623.63,1.84E+06,49.005,52.232
2,11623.629,1.57E+06,47.757,49.737
3,11598.26,1.23E+06,52.992,55.482
1,11598.257,1.37E+06,53.749,57.233
2,11598.254,6.10E+06,51.002,54.984
1,11597.254,7.60E+05,54.997,56.473
3,11570.268,3.59E+05,54.509,55.985
1,11569.32,1.51E+06,58.491,61.222
2,11569.316,2.72E+06,56.748,59.478
3,11544.282,5.89E+05,60.492,62.234
1,11528.29,5.59E+06,60.253,63.473
2,11528.286,1.43E+07,58.008,60.977
3,11528.286,4.43E+06,60.257,63.988
4,11528.286,5.06E+06,62.254,67.981
1,11527.298,4.74E+05,59.247,60.971
2,11523.233,4.15E+06,90.496,92.484
1,11523.222,6.98E+06,109.246,111.482
1,11512.292,1.51E+07,60.253,67.982
3,11512.289,1.59E+07,60.257,67.239
4,11512.287,1.14E+07,63.994,69.983
2,11512.285,2.81E+07,58.26,64.982
1,11511.283,3.05E+05,60.509,61.981
4,11510.627,2.30E+06,46.245,48.973
3,11510.624,4.12E+06,44.004,47.738
